intern_id,name,gender,domain,college,internship_start_date,week_number,week_start_date,tasks_assigned,tasks_completed,task_completion_rate,attendance,late_submissions,mentor_rating,performance_score
1,Rishi Mishra,Male,AI,IIT,2024-08-16,1,2024-08-16,15,5,33.33,76.91,0,4.06,60.77
1,Rishi Mishra,Male,AI,IIT,2024-08-16,2,2024-08-16,15,13,86.67,83.35,3,4.55,86.97
1,Rishi Mishra,Male,AI,IIT,2024-08-16,3,2024-08-16,14,4,28.57,94.35,5,2.76,56.29
1,Rishi Mishra,Male,AI,IIT,2024-08-16,4,2024-08-16,5,5,100.0,99.7,3,3.2,89.11
1,Rishi Mishra,Male,AI,IIT,2024-08-16,5,2024-08-16,13,5,38.46,79.07,0,2.53,54.28
1,Rishi Mishra,Male,AI,IIT,2024-08-16,6,2024-08-16,5,3,60.0,61.38,4,4.3,68.21
1,Rishi Mishra,Male,AI,IIT,2024-08-16,7,2024-08-16,9,9,100.0,76.32,2,4.98,92.78
1,Rishi Mishra,Male,AI,IIT,2024-08-16,8,2024-08-16,6,4,66.67,76.68,2,4.13,74.45
1,Rishi Mishra,Male,AI,IIT,2024-08-16,9,2024-08-16,10,8,80.0,68.65,0,3.8,75.39
1,Rishi Mishra,Male,AI,IIT,2024-08-16,10,2024-08-16,6,3,50.0,93.46,1,2.95,65.74
1,Rishi Mishra,Male,AI,IIT,2024-08-16,11,2024-08-16,11,3,27.27,77.13,4,4.79,62.79
1,Rishi Mishra,Male,AI,IIT,2024-08-16,12,2024-08-16,12,11,91.67,84.08,4,3.41,82.35
1,Rishi Mishra,Male,AI,IIT,2024-08-16,13,2024-08-16,6,3,50.0,83.8,4,3.6,66.74
1,Rishi Mishra,Male,AI,IIT,2024-08-16,14,2024-08-16,10,8,80.0,67.34,3,3.51,73.26
1,Rishi Mishra,Male,AI,IIT,2024-08-16,15,2024-08-16,15,6,40.0,87.96,5,3.38,62.67
1,Rishi Mishra,Male,AI,IIT,2024-08-16,16,2024-08-16,7,6,85.71,95.92,2,4.45,89.76
1,Rishi Mishra,Male,AI,IIT,2024-08-16,17,2024-08-16,6,3,50.0,89.77,0,4.39,73.27
1,Rishi Mishra,Male,AI,IIT,2024-08-16,18,2024-08-16,9,7,77.78,82.04,1,3.67,77.74
1,Rishi Mishra,Male,AI,IIT,2024-08-16,19,2024-08-16,8,8,100.0,92.25,3,5.0,97.67
1,Rishi Mishra,Male,AI,IIT,2024-08-16,20,2024-08-16,11,10,90.91,93.25,1,4.37,90.56
2,Nandini Ghosh,Female,Web Developer,IIT,2024-08-29,1,2024-08-29,15,13,86.67,82.47,5,4.7,87.61
2,Nandini Ghosh,Female,Web Developer,IIT,2024-08-29,2,2024-08-29,12,3,25.0,90.36,5,4.14,61.95
2,Nandini Ghosh,Female,Web Developer,IIT,2024-08-29,3,2024-08-29,14,14,100.0,83.63,5,3.93,88.67
2,Nandini Ghosh,Female,Web Developer,IIT,2024-08-29,4,2024-08-29,14,7,50.0,79.21,3,4.79,72.5
2,Nandini Ghosh,Female,Web Developer,IIT,2024-08-29,5,2024-08-29,12,10,83.33,71.52,1,3.71,77.05
2,Nandini Ghosh,Female,Web Developer,IIT,2024-08-29,6,2024-08-29,11,11,100.0,74.38,1,3.67,84.33
2,Nandini Ghosh,Female,Web Developer,IIT,2024-08-29,7,2024-08-29,7,3,42.86,71.77,5,2.55,53.97
2,Nandini Ghosh,Female,Web Developer,IIT,2024-08-29,8,2024-08-29,15,12,80.0,81.8,5,3.58,78.02
2,Nandini Ghosh,Female,Web Developer,IIT,2024-08-29,9,2024-08-29,9,8,88.89,93.38,0,4.35,89.67
2,Nandini Ghosh,Female,Web Developer,IIT,2024-08-29,10,2024-08-29,8,8,100.0,62.87,1,4.73,87.24
2,Nandini Ghosh,Female,Web Developer,IIT,2024-08-29,11,2024-08-29,13,5,38.46,96.87,3,4.5,71.44
2,Nandini Ghosh,Female,Web Developer,IIT,2024-08-29,12,2024-08-29,12,8,66.67,96.7,5,3.45,76.38
2,Nandini Ghosh,Female,Web Developer,IIT,2024-08-29,13,2024-08-29,5,3,60.0,75.77,3,3.12,65.45
2,Nandini Ghosh,Female,Web Developer,IIT,2024-08-29,14,2024-08-29,9,5,55.56,88.23,0,3.09,67.23
2,Nandini Ghosh,Female,Web Developer,IIT,2024-08-29,15,2024-08-29,8,8,100.0,74.22,0,3.82,85.19
2,Nandini Ghosh,Female,Web Developer,IIT,2024-08-29,16,2024-08-29,12,11,91.67,80.68,2,3.24,80.31
2,Nandini Ghosh,Female,Web Developer,IIT,2024-08-29,17,2024-08-29,12,6,50.0,90.74,4,4.42,73.74
2,Nandini Ghosh,Female,Web Developer,IIT,2024-08-29,18,2024-08-29,5,3,60.0,83.98,2,4.92,78.71
2,Nandini Ghosh,Female,Web Developer,IIT,2024-08-29,19,2024-08-29,6,6,100.0,62.77,0,4.34,84.87
2,Nandini Ghosh,Female,Web Developer,IIT,2024-08-29,20,2024-08-29,6,4,66.67,68.77,0,3.69,69.44
3,Preeti Singh,Female,Cloud Computing,VIT,2024-08-18,1,2024-08-18,14,14,100.0,84.69,5,4.75,93.91
3,Preeti Singh,Female,Cloud Computing,VIT,2024-08-18,2,2024-08-18,5,3,60.0,87.26,3,3.66,72.14
3,Preeti Singh,Female,Cloud Computing,VIT,2024-08-18,3,2024-08-18,9,3,33.33,87.73,1,3.49,60.59
3,Preeti Singh,Female,Cloud Computing,VIT,2024-08-18,4,2024-08-18,8,4,50.0,82.2,1,2.78,61.34
3,Preeti Singh,Female,Cloud Computing,VIT,2024-08-18,5,2024-08-18,12,3,25.0,83.19,5,3.46,55.72
3,Preeti Singh,Female,Cloud Computing,VIT,2024-08-18,6,2024-08-18,6,6,100.0,65.07,2,4.33,85.5
3,Preeti Singh,Female,Cloud Computing,VIT,2024-08-18,7,2024-08-18,12,8,66.67,88.54,1,3.57,74.65
3,Preeti Singh,Female,Cloud Computing,VIT,2024-08-18,8,2024-08-18,7,4,57.14,90.63,2,4.3,75.84
3,Preeti Singh,Female,Cloud Computing,VIT,2024-08-18,9,2024-08-18,14,12,85.71,90.32,0,2.83,78.36
3,Preeti Singh,Female,Cloud Computing,VIT,2024-08-18,10,2024-08-18,9,5,55.56,92.49,1,3.99,73.91
3,Preeti Singh,Female,Cloud Computing,VIT,2024-08-18,11,2024-08-18,5,3,60.0,76.56,3,4.17,71.99
3,Preeti Singh,Female,Cloud Computing,VIT,2024-08-18,12,2024-08-18,11,9,81.82,65.38,2,2.65,68.24
3,Preeti Singh,Female,Cloud Computing,VIT,2024-08-18,13,2024-08-18,9,6,66.67,77.19,1,2.8,66.62
