Intern_ID,Name,Gender,Domain,College,Internship_Start_Date,Week_Number,Week_Start_Date,Tasks_Assigned,Tasks_Completed,Task_Completion_Rate (%),Attendance (%),Late_Submissions,Mentor_Rating (1-5),Performance_Score
1,Rishi Mishra,Male,AI,IIT,8/16/2024,1,8/16/2024,15,5,33.33,76.91,0,4.06,60.77
1,Rishi Mishra,Male,AI,IIT,8/16/2024,2,8/16/2024,15,13,86.67,83.35,3,4.55,86.97
1,Rishi Mishra,Male,AI,IIT,8/16/2024,3,8/16/2024,14,4,28.57,94.35,5,2.76,56.29
1,Rishi Mishra,Male,AI,IIT,8/16/2024,4,8/16/2024,5,5,100,99.7,3,3.2,89.11
1,Rishi Mishra,Male,AI,IIT,8/16/2024,5,8/16/2024,13,5,38.46,79.07,0,2.53,54.28
1,Rishi Mishra,Male,AI,IIT,8/16/2024,6,8/16/2024,5,3,60,61.38,4,4.3,68.21
1,Rishi Mishra,Male,AI,IIT,8/16/2024,7,8/16/2024,9,9,100,76.32,2,4.98,92.78
1,Rishi Mishra,Male,AI,IIT,8/16/2024,8,8/16/2024,6,4,66.67,76.68,2,4.13,74.45
1,Rishi Mishra,Male,AI,IIT,8/16/2024,9,8/16/2024,10,8,80,68.65,0,3.8,75.39
1,Rishi Mishra,Male,AI,IIT,8/16/2024,10,8/16/2024,6,3,50,93.46,1,2.95,65.74
1,Rishi Mishra,Male,AI,IIT,8/16/2024,11,8/16/2024,11,3,27.27,77.13,4,4.79,62.79
1,Rishi Mishra,Male,AI,IIT,8/16/2024,12,8/16/2024,12,11,91.67,84.08,4,3.41,82.35
1,Rishi Mishra,Male,AI,IIT,8/16/2024,13,8/16/2024,6,3,50,83.8,4,3.6,66.74
1,Rishi Mishra,Male,AI,IIT,8/16/2024,14,8/16/2024,10,8,80,67.34,3,3.51,73.26
1,Rishi Mishra,Male,AI,IIT,8/16/2024,15,8/16/2024,15,6,40,87.96,5,3.38,62.67
1,Rishi Mishra,Male,AI,IIT,8/16/2024,16,8/16/2024,7,6,85.71,95.92,2,4.45,89.76
1,Rishi Mishra,Male,AI,IIT,8/16/2024,17,8/16/2024,6,3,50,89.77,0,4.39,73.27
1,Rishi Mishra,Male,AI,IIT,8/16/2024,18,8/16/2024,9,7,77.78,82.04,1,3.67,77.74
1,Rishi Mishra,Male,AI,IIT,8/16/2024,19,8/16/2024,8,8,100,92.25,3,5,97.67
1,Rishi Mishra,Male,AI,IIT,8/16/2024,20,8/16/2024,11,10,90.91,93.25,1,4.37,90.56
2,Nandini Ghosh,Female,Web Developer,IIT,8/29/2024,1,8/29/2024,15,13,86.67,82.47,5,4.7,87.61
2,Nandini Ghosh,Female,Web Developer,IIT,8/29/2024,2,8/29/2024,12,3,25,90.36,5,4.14,61.95
2,Nandini Ghosh,Female,Web Developer,IIT,8/29/2024,3,8/29/2024,14,14,100,83.63,5,3.93,88.67
2,Nandini Ghosh,Female,Web Developer,IIT,8/29/2024,4,8/29/2024,14,7,50,79.21,3,4.79,72.5
2,Nandini Ghosh,Female,Web Developer,IIT,8/29/2024,5,8/29/2024,12,10,83.33,71.52,1,3.71,77.05
2,Nandini Ghosh,Female,Web Developer,IIT,8/29/2024,6,8/29/2024,11,11,100,74.38,1,3.67,84.33
2,Nandini Ghosh,Female,Web Developer,IIT,8/29/2024,7,8/29/2024,7,3,42.86,71.77,5,2.55,53.97
2,Nandini Ghosh,Female,Web Developer,IIT,8/29/2024,8,8/29/2024,15,12,80,81.8,5,3.58,78.02
2,Nandini Ghosh,Female,Web Developer,IIT,8/29/2024,9,8/29/2024,9,8,88.89,93.38,0,4.35,89.67
2,Nandini Ghosh,Female,Web Developer,IIT,8/29/2024,10,8/29/2024,8,8,100,62.87,1,4.73,87.24
2,Nandini Ghosh,Female,Web Developer,IIT,8/29/2024,11,8/29/2024,13,5,38.46,96.87,3,4.5,71.44
2,Nandini Ghosh,Female,Web Developer,IIT,8/29/2024,12,8/29/2024,12,8,66.67,96.7,5,3.45,76.38
2,Nandini Ghosh,Female,Web Developer,IIT,8/29/2024,13,8/29/2024,5,3,60,75.77,3,3.12,65.45
2,Nandini Ghosh,Female,Web Developer,IIT,8/29/2024,14,8/29/2024,9,5,55.56,88.23,0,3.09,67.23
2,Nandini Ghosh,Female,Web Developer,IIT,8/29/2024,15,8/29/2024,8,8,100,74.22,0,3.82,85.19
2,Nandini Ghosh,Female,Web Developer,IIT,8/29/2024,16,8/29/2024,12,11,91.67,80.68,2,3.24,80.31
2,Nandini Ghosh,Female,Web Developer,IIT,8/29/2024,17,8/29/2024,12,6,50,90.74,4,4.42,73.74
2,Nandini Ghosh,Female,Web Developer,IIT,8/29/2024,18,8/29/2024,5,3,60,83.98,2,4.92,78.71
2,Nandini Ghosh,Female,Web Developer,IIT,8/29/2024,19,8/29/2024,6,6,100,62.77,0,4.34,84.87
2,Nandini Ghosh,Female,Web Developer,IIT,8/29/2024,20,8/29/2024,6,4,66.67,68.77,0,3.69,69.44
3,Preeti Singh,Female,Cloud Computing,VIT,8/18/2024,1,8/18/2024,14,14,100,84.69,5,4.75,93.91
3,Preeti Singh,Female,Cloud Computing,VIT,8/18/2024,2,8/18/2024,5,3,60,87.26,3,3.66,72.14
3,Preeti Singh,Female,Cloud Computing,VIT,8/18/2024,3,8/18/2024,9,3,33.33,87.73,1,3.49,60.59
3,Preeti Singh,Female,Cloud Computing,VIT,8/18/2024,4,8/18/2024,8,4,50,82.2,1,2.78,61.34
3,Preeti Singh,Female,Cloud Computing,VIT,8/18/2024,5,8/18/2024,12,3,25,83.19,5,3.46,55.72
3,Preeti Singh,Female,Cloud Computing,VIT,8/18/2024,6,8/18/2024,6,6,100,65.07,2,4.33,85.5
3,Preeti Singh,Female,Cloud Computing,VIT,8/18/2024,7,8/18/2024,12,8,66.67,88.54,1,3.57,74.65
3,Preeti Singh,Female,Cloud Computing,VIT,8/18/2024,8,8/18/2024,7,4,57.14,90.63,2,4.3,75.84
3,Preeti Singh,Female,Cloud Computing,VIT,8/18/2024,9,8/18/2024,14,12,85.71,90.32,0,2.83,78.36
3,Preeti Singh,Female,Cloud Computing,VIT,8/18/2024,10,8/18/2024,9,5,55.56,92.49,1,3.99,73.91
3,Preeti Singh,Female,Cloud Computing,VIT,8/18/2024,11,8/18/2024,5,3,60,76.56,3,4.17,71.99
